Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Aug-20-2023 23_19_57,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
0.5850,1.20,1.7987,0.0000,1.8107,-0.1667,1.8093,-0.1000,1.7987,0.0000,1.8000,-0.0667,1.8040,0.0000,1.8173,-0.0667,1.7920,0.0000,1.8014,-0.2000,1.8200,-0.0667,1.8080,-0.1000,1.8120,0.0000,1.8200,-0.0667,1.8213,-0.0667,1.8013,0.1000,1.8120,0.0000,1.8160,-0.1000,1.8040,-0.0667,1.7973,-0.0667,1.7920,-0.0667,1.7907,0.0333,1.8040,-0.0667,1.8133,0.0000,1.7933,-0.0333,1.8133,0.0000,1.8107,-0.1000,1.8040,0.0333,1.8227,-0.1000,1.8200,-0.0333,1.8080,-0.0667,1.8120,0.0000,1.8040,-0.1000,0
1.2120,1.17,1.7520,0.0000,1.7653,-0.1667,1.7627,-0.0333,1.7520,-0.0333,1.7560,-0.1000,1.7600,0.0000,1.7720,-0.0667,1.7467,0.0000,1.7547,-0.1667,1.7733,-0.0667,1.7640,-0.1000,1.7680,-0.0333,1.7760,-0.0333,1.7773,-0.0333,1.7547,0.1000,1.7680,0.0333,1.7720,-0.1000,1.7600,-0.1000,1.7520,-0.1000,1.7480,-0.0333,1.7480,0.0000,1.7560,-0.1000,1.7653,-0.0333,1.7480,-0.0333,1.7680,0.0000,1.7653,-0.1000,1.7600,0.0000,1.7760,-0.1000,1.7720,-0.1000,1.7600,-0.1000,1.7640,0.0000,1.7600,-0.1000,0
1.8390,1.14,1.7080,0.0000,1.7200,-0.1000,1.7160,-0.0333,1.7080,0.0000,1.7107,-0.0667,1.7133,0.0000,1.7253,-0.0667,1.7000,0.0000,1.7120,-0.2000,1.7280,-0.0667,1.7200,-0.0667,1.7213,-0.0333,1.7280,-0.0333,1.7320,-0.0333,1.7080,0.0667,1.7200,0.0000,1.7240,-0.0667,1.7160,-0.0667,1.7080,-0.0667,1.7013,-0.0333,1.7000,-0.0333,1.7107,-0.0667,1.7200,0.0000,1.7013,-0.0667,1.7227,0.0000,1.7187,-0.1000,1.7147,0.0000,1.7320,-0.0667,1.7267,-0.0667,1.7133,0.0000,1.7173,-0.0333,1.7133,-0.1000,0
2.4670,1.11,1.6613,0.0000,1.6760,-0.1667,1.6720,-0.1000,1.6640,0.0000,1.6653,-0.0667,1.6680,0.0000,1.6827,-0.1000,1.6560,0.0333,1.6653,-0.1333,1.6827,-0.0333,1.6720,-0.1000,1.6787,-0.0333,1.6853,-0.0333,1.6880,-0.1000,1.6653,0.1000,1.6760,0.0333,1.6813,-0.1000,1.6693,-0.1000,1.6640,-0.0333,1.6560,0.0000,1.6573,0.0000,1.6667,-0.1000,1.6760,0.0000,1.6560,-0.0667,1.6800,0.0000,1.6747,-0.1000,1.6693,0.0000,1.6880,-0.0333,1.6840,-0.0333,1.6720,-0.0333,1.6733,-0.0333,1.6707,-0.1000,0
3.0930,1.08,1.6200,-0.0333,1.6320,-0.1333,1.6293,-0.1000,1.6200,0.0000,1.6200,-0.0667,1.6240,-0.0667,1.6400,-0.0667,1.6120,0.0000,1.6213,-0.1333,1.6400,0.0000,1.6307,-0.1000,1.6347,-0.0333,1.6400,0.0000,1.6440,-0.0667,1.6240,0.0667,1.6320,0.0333,1.6360,-0.0667,1.6280,-0.1000,1.6173,-0.0667,1.6133,-0.0333,1.6120,0.0000,1.6227,-0.1000,1.6320,0.0000,1.6160,-0.0333,1.6347,0.0000,1.6320,-0.1333,1.6280,0.0000,1.6427,-0.0667,1.6400,-0.1000,1.6280,-0.0333,1.6280,-0.0333,1.6253,-0.1000,0
